"","TEAM","HOME_GUEST","W","L","WIN_Ratio","MIN","PTS","FGM","FGA","FG_Ratio","3PM","3PA","3P_Ratio","FTM","FTA","FT_Ratio","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD"
"14","Memphis Grizzlies","Home",24,17,0.585,48.4,99.2,35.6,83.2,42.7,9,25.3,35.3,19.1,24.3,78.6,11.5,32.7,44.1,21.1,13.5,7.9,5,5.4,22.4,21.4
"15","Detroit Pistons","Home",24,17,0.585,48.2,103,40.5,89.1,45.4,8.1,23.1,35.1,13.9,19.7,70.5,11.1,36.1,47.2,22.9,12,7.3,3.7,4.3,17.9,18
"16","Atlanta Hawks","Home",23,18,0.561,48.9,105.9,39,85.4,45.7,8.9,25.9,34.2,19,26.2,72.6,11,33.2,44.2,24.7,15.6,8.5,4.8,5.6,18.5,22.5
"17","Milwaukee Bucks","Home",23,18,0.561,48.4,106,39.3,82.1,47.9,8.7,23.2,37.4,18.7,23.9,78.4,8.5,31.2,39.7,24.4,13.8,8.7,5,4.5,20.3,20.6
"18","Miami Heat","Home",23,18,0.561,48.5,106.5,40,85.1,47,10.5,27.6,38.1,15.9,23,69.1,9.9,33.8,43.6,21.1,13.8,7,5.7,4.1,20.5,19.3
"19","Charlotte Hornets","Home",22,19,0.537,48.2,106.6,38.1,85,44.9,10,28.5,35,20.3,25.5,79.6,9,35,43.9,24.1,10.6,6.8,5.3,5.5,15.8,20.5
"20","Denver Nuggets","Home",22,19,0.537,48.4,113.9,42.1,87.4,48.2,11,28.5,38.5,18.7,24.4,76.4,11.2,34.7,45.9,27.9,14.6,7,3.8,4.2,18.8,20.2
"21","Dallas Mavericks","Home",21,20,0.512,48.4,99.4,36.3,81.9,44.3,10.5,29.3,35.9,16.3,19.8,82.2,8.1,32.4,40.5,20.8,12.1,7.6,3.8,3.3,18.3,20.1
"22","New Orleans Pelicans","Home",21,20,0.512,48.6,107.6,40,88,45.5,9.8,28.2,34.8,17.7,23.1,76.8,8.7,36.5,45.2,23.7,12.2,8,6,4.4,18.2,19.6
"23","Minnesota Timberwolves","Home",20,21,0.488,48.2,106.6,39.4,83.2,47.4,7.9,21.5,36.6,19.8,25,79.3,11.2,31.6,42.8,24.5,14.4,8.1,4.4,4.1,20.5,21.5
"24","New York Knicks","Home",19,22,0.463,48.1,104.9,40.2,87.1,46.2,8.8,24.6,35.7,15.7,20.1,77.8,11.8,33,44.8,21.6,14,7.2,5.5,4.2,19.6,18.3
"25","Philadelphia 76ers","Home",17,24,0.415,48.4,102.4,37.3,84.4,44.2,10.4,30.2,34.5,17.4,22.4,77.8,9.6,33.7,43.3,24.8,16.5,7.9,5.5,4.9,21.6,20.4
"26","Sacramento Kings","Home",17,24,0.415,48.4,105,38.2,81.3,47,9.5,24.5,38.7,19.1,24,79.8,8,32.4,40.4,22.6,14.9,7.7,3.7,4.7,20.1,20.1
"27","Los Angeles Lakers","Home",17,24,0.415,48.1,107.6,40.5,87.2,46.4,9.3,25.6,36.4,17.3,23,75.3,11.5,32.5,44,22,14.5,8.2,3.7,5.3,19.9,18.5
"28","Orlando Magic","Home",16,25,0.39,48.2,100.2,37.6,86.5,43.5,8.4,25.4,32.9,16.6,22.4,74.3,10.4,33.9,44.3,21.6,12.8,6.9,5.2,4.7,19.1,19
"29","Phoenix Suns","Home",15,26,0.366,48.4,109.7,40.5,88.7,45.6,7.8,23.1,33.8,20.9,26.4,79,12.4,34.3,46.7,20,15.5,7.8,5.5,5.1,24.4,22.7
"30","Brooklyn Nets","Home",13,28,0.317,48.4,104.4,37.4,85.8,43.6,10.6,31.9,33.2,19,24.1,78.6,9.6,35.5,45,21.1,16.8,7.1,4.9,5.4,20.9,20.7
"31","Golden State Warriors","Guest",31,10,0.756,48.1,113,41.5,86.8,47.8,11.2,31.5,35.5,18.8,23.4,80.2,9.3,33.7,43,28.7,14.9,10.1,5.8,4.2,20.4,19.5
"32","San Antonio Spurs","Guest",30,11,0.732,48.4,105,39.3,84.3,46.6,8.8,23.3,37.9,17.7,21.9,80.5,10.7,33.4,44.1,22.2,13.3,7.8,5.8,3.9,18.8,19.8
"33","Houston Rockets","Guest",25,16,0.61,48.4,113.5,39.9,86.5,46.1,14,39.2,35.8,19.7,25.3,77.7,10.4,33.1,43.5,24.2,16.1,8,4.2,5,21,20.1
"34","Toronto Raptors","Guest",23,18,0.561,48.2,102.8,38.1,84,45.3,8.5,25.1,33.7,18.1,23.1,78.6,9.9,32.3,42.2,17.8,12.4,8.5,4.2,5.2,21,19.7
"35","Boston Celtics","Guest",23,18,0.561,48.2,106.5,38.2,84.4,45.2,11.4,33.3,34.2,18.7,23.3,80.3,8.3,32.4,40.7,23.6,12.5,7.5,3.7,4.9,21.6,20.2
"36","Utah Jazz","Guest",22,19,0.537,48.4,100.3,37.4,80.8,46.3,9.1,25.5,35.7,16.5,21.9,75.2,10,33.3,43.3,20.4,13.8,6.7,5.2,4,19.3,19.5
"37","LA Clippers","Guest",22,19,0.537,48.2,107.7,39.2,83.9,46.7,10.6,27.9,38,18.8,25.4,73.8,9.1,33.6,42.7,21.6,12.9,6.7,4,3.6,20.1,22
"38","Atlanta Hawks","Guest",20,21,0.488,48.1,100.4,37.1,83.3,44.6,8.9,26.3,34,17.2,23.5,73,9.5,34.9,44.4,22.6,16,7.9,4.9,4.8,17.8,20.6
"39","Cleveland Cavaliers","Guest",20,21,0.488,48.5,108,38.8,84.5,45.9,12.9,34.1,37.9,17.5,22.9,76.6,9,33.4,42.4,20.8,14.4,6.2,3.5,4.7,19.1,20.2
"40","Oklahoma City Thunder","Guest",19,22,0.463,48.2,103.7,38.1,87.7,43.4,8.2,26.2,31.3,19.3,25.7,75,12.9,33.6,46.5,20.3,14.9,7.9,5,6.4,21.8,20.5
"41","Milwaukee Bucks","Guest",19,22,0.463,48.1,101.2,38.3,81.7,46.8,8.9,24.3,36.6,15.8,21,75,9.1,31.9,41,24,14.1,7.5,5.6,4.6,20.2,17.9
"42","Memphis Grizzlies","Guest",19,22,0.463,48.7,101.7,37.2,83.9,44.3,9.8,27.6,35.4,17.6,22.5,78.2,10.1,31.3,41.4,21.4,12.3,8,3.4,4.6,22.5,20.2
"43","Washington Wizards","Guest",19,22,0.463,48.6,108,41.2,88.1,46.7,8.6,25.3,34,17,22.1,76.8,10.1,32.9,43,22.9,13.6,8.3,3.9,5,21.4,19.1
"44","Miami Heat","Guest",18,23,0.439,48,99.9,38,86.5,44,9.2,26.4,34.8,14.6,20.2,72.3,11.4,32.2,43.6,21.4,13.1,7.3,5.7,5.6,20.5,18
"45","Denver Nuggets","Guest",18,23,0.439,48,109.6,40.2,88.1,45.7,10.2,29.2,35.1,18.8,24,78.4,12.3,34.5,46.8,22.8,15.3,6.9,4,5.6,19.5,20.1
"46","Chicago Bulls","Guest",16,25,0.39,48.2,102,38.7,86.1,44.9,7.8,23.3,33.3,16.9,21.5,78.5,11.4,34.1,45.5,21.4,14.2,7.4,4.6,4.6,18.1,18.4
"47","Portland Trail Blazers","Guest",16,25,0.39,48.5,106,38.5,85.5,45,9.7,26.8,36.2,19.3,24.2,79.9,10.1,33.4,43.4,20.2,14,7,5.1,5.4,22.1,19.7
"48","Sacramento Kings","Guest",15,26,0.366,48.6,100.6,37.5,83,45.2,8.5,23.3,36.5,17,22.7,75.2,9.4,32.3,41.7,22.4,14.4,7.6,4.2,5.5,20.5,20.1
"49","Charlotte Hornets","Guest",14,27,0.341,48.5,103.2,37.3,85.7,43.5,10.1,28.8,35.2,18.5,22.1,83.6,8.6,34.6,43.3,22,12.4,7.1,4.2,5.4,17.4,19.3
"50","Orlando Magic","Guest",13,28,0.317,48.4,101.9,39,87.5,44.5,8.7,26.8,32.6,15.3,20.4,75.1,9.3,32.8,42.1,22.8,13.8,7.2,4.4,5.5,19.5,18.4
"51","Detroit Pistons","Guest",13,28,0.317,48.4,99.7,39.2,88.5,44.3,7.3,23.6,30.9,13.9,19,73.4,11,33.1,44.2,19.4,11.8,6.7,3.8,4,17.9,17
"52","Indiana Pacers","Guest",13,28,0.317,48.5,103.3,38.2,83.9,45.6,8.5,23,37.1,18.3,22.6,81,9.4,32.1,41.6,23.2,14.8,8.3,4.1,4.4,20.2,19.4
"53","New Orleans Pelicans","Guest",13,28,0.317,48.5,101,38.2,85.9,44.5,8.9,25.4,35.2,15.6,21.4,72.9,8.4,33.7,42.1,21.9,13.5,7.6,5,4.1,18.1,18.9
"54","Dallas Mavericks","Guest",12,29,0.293,48.1,96.5,36.1,82.7,43.7,10.9,31,35.1,13.3,17.1,77.8,7.7,29,36.6,20.8,11.6,7.4,3.7,3.6,19.9,18.7
"55","New York Knicks","Guest",12,29,0.293,48.7,103.8,38.9,89.9,43.3,8.4,24.7,33.9,17.6,22.1,79.7,12.2,33.4,45.6,22,13.7,7,5.6,5,21.1,18.7
"56","Philadelphia 76ers","Guest",11,30,0.268,48.4,102.5,38,86.1,44.2,9.9,29.4,33.5,16.6,21.7,76.5,10.1,32.3,42.4,22.7,16.8,9,4.8,6,22.1,18.9
"57","Minnesota Timberwolves","Guest",11,30,0.268,48.4,104.6,39.5,85.6,46.1,6.8,20.5,33.1,18.9,23.4,80.4,11.6,30.4,42,22.8,13.7,7.9,4.6,6,19.6,19.5
"58","Phoenix Suns","Guest",9,32,0.22,48.4,105.7,39.3,88.3,44.5,7.2,22.1,32.5,20,26.2,76.3,11.4,31.9,43.3,19.1,15.4,8.6,4.2,5.5,25.1,21.7
"59","Los Angeles Lakers","Guest",9,32,0.22,48,101.6,38.1,87.5,43.6,8.5,25.9,32.9,16.8,22.2,75.5,11.3,31.8,43.1,19.8,15.8,8.2,4.1,5.4,21.5,18.6
"60","Brooklyn Nets","Guest",7,34,0.171,48,107.1,38.2,84.6,45.2,10.8,31.3,34.5,19.9,25.1,79,8,34.7,42.8,21.8,16.3,7.4,4.6,5.8,21.2,20
