"","Player","Pos","Age","Abb_team","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Team","team_AST","team_FG"
"497","Noah Vonleh","PF",21,"POR",74,41,1265,3.7,7.7,0.481,0.2,0.6,0.35,3.5,7.1,0.492,1.7,2.7,0.638,3.7,7.3,11,0.9,0.9,0.8,1.8,4.4,9.3,"Portland Trail Blazers",21.1,45.9
"498","Nikola Vucevic","C",26,"ORL",75,55,2163,8,17.2,0.468,0.4,1.2,0.307,7.7,15.9,0.481,1.8,2.7,0.669,2.9,10,13,3.5,1.3,1.2,1.9,3,18.2,"Orlando Magic",22.2,44
"499","Sasha Vujacic","SG",32,"NYK",42,4,408,3.7,12,0.309,2,6.5,0.311,1.7,5.5,0.306,1.5,2.1,0.708,1.1,4.1,5.2,4.6,1.1,0.2,1.4,3.4,10.9,"New York Knicks",21.8,44.7
"500","Dwyane Wade","SG",35,"CHI",60,59,1792,8.3,19.2,0.434,0.9,2.9,0.31,7.4,16.3,0.456,4.5,5.6,0.794,1.3,4.2,5.4,4.6,1.7,0.8,2.8,2.3,22,"Chicago Bulls",22.6,44.4
"501","Dion Waiters","SG",25,"MIA",46,43,1384,7.3,17.2,0.424,2.2,5.6,0.395,5.1,11.7,0.438,2.1,3.3,0.646,0.5,3.5,4,5.2,1.1,0.5,2.7,2.5,19,"Miami Heat",21.2,45.5
"502","Kemba Walker","PG",26,"CHO",79,79,2739,8.5,19,0.444,3.2,7.9,0.399,5.3,11.1,0.476,4,4.7,0.847,0.6,3.5,4,5.7,1.1,0.3,2.2,1.6,24.1,"Charlotte Hornets",23.1,44.2
"503","John Wall","PG",26,"WAS",78,78,2836,8.2,18.2,0.451,1.1,3.5,0.327,7.1,14.8,0.48,5.4,6.7,0.801,0.7,3.4,4.1,10.5,2,0.6,4.1,1.9,22.9,"Washington Wizards",23.9,47.5
"504","Taurean Waller-Prince","SF",22,"ATL",59,10,981,4.2,10.5,0.4,1.2,3.7,0.324,3,6.7,0.443,2.7,3.4,0.787,0.9,4.8,5.8,2,1.6,1,2.2,3.5,12.3,"Atlanta Hawks",23.6,45.1
"505","T.J. Warren","SF",23,"PHO",66,59,2048,7.1,14.3,0.495,0.5,1.7,0.265,6.6,12.6,0.527,2.1,2.7,0.773,2.2,3.8,6,1.3,1.3,0.7,1,3.1,16.7,"Phoenix Suns",19.6,45
"506","C.J. Watson","PG",32,"ORL",62,9,1012,3.4,8.8,0.387,1.1,3.7,0.305,2.3,5.1,0.448,2,2.3,0.864,0.6,2.6,3.2,4.1,1.5,0.1,1.7,3,10,"Orlando Magic",22.2,44
"507","Briante Weber","PG",24,"GSW",7,0,46,3.9,11,0.357,0,2.3,0,3.9,8.6,0.455,1.6,2.3,0.667,0,3.1,3.1,3.9,2.3,0.8,2.3,3.1,9.4,"Golden State Warriors",30.4,49.5
"508","Briante Weber","PG",24,"CHO",13,0,159,4.5,10.4,0.435,0.2,1.6,0.143,4.3,8.8,0.487,2,2.9,0.692,1.8,3.2,5,3.6,2,0,1.1,2.7,11.3,"Charlotte Hornets",23.1,44.2
"509","David West","C",36,"GSW",68,0,854,5.7,10.6,0.536,0.1,0.3,0.375,5.6,10.3,0.541,1.8,2.4,0.768,2,6.6,8.6,6.4,1.8,2,3.3,4.4,13.3,"Golden State Warriors",30.4,49.5
"510","Russell Westbrook","PG",28,"OKC",81,81,2802,10.6,24.9,0.425,2.6,7.5,0.343,8,17.4,0.459,9.1,10.8,0.845,1.8,9.3,11.1,10.8,1.7,0.4,5.6,2.4,32.9,"Oklahoma City Thunder",21,45.2
"511","Okaro White","PF",24,"MIA",35,0,471,2.5,6.6,0.379,0.9,2.6,0.353,1.6,4.1,0.396,1.5,1.7,0.909,1.9,4.4,6.3,1.6,0.8,0.8,1.4,4,7.5,"Miami Heat",21.2,45.5
"512","Isaiah Whitehead","PG",21,"BRK",73,26,1643,4.5,11.1,0.402,1,3.3,0.295,3.5,7.9,0.446,2,2.5,0.805,0.7,3.3,4,4.2,0.9,0.8,3.1,3.8,11.9,"Brooklyn Nets",21.4,44.4
"513","Hassan Whiteside","C",27,"MIA",77,77,2513,7.8,13.9,0.557,0,0,NA,7.8,13.9,0.557,3.2,5.1,0.628,4.2,11.4,15.6,0.8,0.8,2.3,2.2,3.2,18.8,"Miami Heat",21.2,45.5
"514","Andrew Wiggins","SF",21,"MIN",82,82,3048,8.4,18.5,0.452,1.2,3.4,0.356,7.2,15.1,0.473,4.9,6.4,0.76,1.2,2.7,3.9,2.2,1,0.4,2.2,2.2,22.8,"Minnesota Timberwolves",23.7,46.7
"515","C.J. Wilcox","SG",26,"ORL",22,0,108,2.7,10.3,0.258,1,5,0.2,1.7,5.3,0.313,0.7,0.7,1,1.3,2.7,4,4,0.7,0.3,2,2.7,7,"Orlando Magic",22.2,44
"516","Alan Williams","C",24,"PHO",47,0,708,7,13.6,0.517,0,0.1,0,7,13.5,0.519,3.6,5.7,0.625,4.8,10.1,14.8,1.2,1.4,1.6,1.9,6.4,17.6,"Phoenix Suns",19.6,45
"517","Deron Williams","PG",32,"DAL",40,40,1171,6,13.9,0.43,1.9,5.6,0.348,4.1,8.4,0.485,2.1,2.6,0.821,0.4,2.7,3.1,8.4,0.8,0.1,3,3,16,"Dallas Mavericks",20.8,44
"518","Deron Williams","PG",32,"CLE",24,4,486,5,10.9,0.463,1.6,3.9,0.415,3.4,7,0.489,1.6,1.9,0.84,0.1,3.3,3.3,6.4,0.4,0.4,3,3.1,13.3,"Cleveland Cavaliers",22.7,47
"519","Derrick Williams","PF",25,"MIA",25,11,377,5.2,13.1,0.394,0.9,4.3,0.2,4.3,8.8,0.489,3,4.8,0.62,1.5,5.4,7,1.3,0.9,0.5,1.3,3.2,14.1,"Miami Heat",21.2,45.5
"520","Derrick Williams","PF",25,"CLE",25,0,427,4.6,9,0.505,1.8,4.4,0.404,2.8,4.6,0.6,2.3,3.3,0.692,0.3,4.6,4.8,1.2,0.4,0.2,1.2,2.3,13.2,"Cleveland Cavaliers",22.7,47
"521","Lou Williams","SG",30,"LAL",58,1,1403,8.4,18.8,0.444,3.1,8.1,0.385,5.2,10.7,0.489,7.8,8.8,0.884,0.4,3,3.4,4.7,1.7,0.3,3.1,1.7,27.7,"Los Angeles Lakers",20.9,45
