,Player,Pos,Age,Team,Abb_team,MP,PTS,AST,FG,FT,X3P,FGA,TOV,FTA,TRB,ORB,BLK,STL,PF,team_AST,team_FG,Pace,pace_adjustment,PER_value
51,Andrew Bogut,C,32,Cleveland Cavaliers,CLE,1,0,0,0,0,0,0,0,0,0,0,0,0,72,22.7,47,96.2,1.002079002,0
52,Joel Bolomboy,PF,23,Utah Jazz,UTA,53,14.9,1.4,6.1,2,0.7,10.9,1.4,4.1,11.5,2.7,1.4,0.7,0.7,20.1,46.6,91.6,1.052401747,0.275310465
53,Devin Booker,SG,20,Phoenix Suns,PHO,2730,22.8,3.5,8,4.8,1.9,18.9,3.2,5.8,3.3,0.6,0.3,0.9,3.2,19.6,45,100.3,0.96111665,0.003775525
54,Trevor Booker,PF,29,Brooklyn Nets,BRK,1754,14.6,2.8,6.3,1.5,0.5,12.1,2.6,2.3,11.7,2.9,0.6,1.5,3.1,21.4,44.4,101.3,0.951628825,0.0066801
55,Avery Bradley,SG,26,Boston Celtics,BOS,1835,17.5,2.4,7,1.3,2.1,15.2,1.7,1.8,6.6,1.3,0.2,1.3,2.8,25.2,45.4,96.8,0.995867769,0.005919063
56,Corey Brewer,SF,30,Los Angeles Lakers,LAL,358,13,3.6,5.3,1.8,0.5,12.2,1.9,2.4,5.2,1.1,0.8,2.4,2.9,20.9,45,98.5,0.978680203,0.027101546
57,Malcolm Brogdon,SG,24,Milwaukee Bucks,MIL,1982,13.9,5.8,5.3,2,1.4,11.5,2.1,2.3,3.9,0.9,0.2,1.5,2.5,24.2,47.4,94.5,1.02010582,0.005668788
58,Aaron Brooks,PG,32,Indiana Pacers,IND,894,13,5,4.9,1.3,1.9,12.1,2.7,1.6,2.8,0.7,0.4,1,3.7,22.5,46.5,95.9,1.005213764,0.008132337
59,Anthony Brown,SF,24,Orlando Magic,ORL,16,20.3,4.5,9,0,2.3,20.3,2.3,0,15.8,4.5,0,0,4.5,22.2,44,96.8,0.995867769,0.879151841
60,Bobby Brown,PG,32,Houston Rockets,HOU,123,18.1,4.1,6.7,0.6,4.1,17.6,1.5,0.6,1.8,0,0,0.3,1.5,25.2,46.2,100,0.964,0.067358403
61,Jaylen Brown,SF,20,Boston Celtics,BOS,1341,13.8,1.7,5.2,2.3,1.2,11.4,1.8,3.3,5.9,1.2,0.5,0.9,3.8,25.2,45.4,96.8,0.995867769,0.005808566
62,Nicolas Brussino,SF,23,Dallas Mavericks,DAL,521,10.4,3.2,3.6,1.2,2,9.7,1.8,1.5,6.6,1.8,0.6,1.2,3,20.8,44,92.2,1.045553145,0.015842482
63,Reggie Bullock,SF,25,Detroit Pistons,DET,467,10.9,2.2,4.2,0.4,2.2,9.9,0.8,0.5,4.9,1,0.2,1.4,1.7,21.1,44.9,95,1.014736842,0.019102545
64,Trey Burke,PG,24,Washington Wizards,WAS,703,14.6,5.1,5.9,1.1,1.6,13.1,2.5,1.5,2.4,0.4,0.3,0.6,2.8,23.9,47.5,97.4,0.98973306,0.011550545
65,Alec Burks,SG,25,Utah Jazz,UTA,653,15.6,1.7,5.5,3.3,1.4,13.7,1.9,4.3,6.6,0.9,0.3,1,2.8,20.1,46.6,91.6,1.052401747,0.013433358
66,Jimmy Butler,SF,27,Chicago Bulls,CHI,2809,23.3,5.3,7.3,7.5,1.2,16,2,8.7,6,1.7,0.4,1.8,1.4,22.6,44.4,95.3,1.011542497,0.006308747
67,Bruno Caboclo,SF,21,Toronto Raptors,TOR,40,12.6,3.6,5.4,0,1.8,14.4,1.8,0,9,4.5,0.9,1.8,3.6,18.5,46.4,94.7,1.017951426,0.276869762
68,Jose Calderon,PG,35,Atlanta Hawks,ATL,247,8.9,5.4,3.4,1,1.2,8.3,2.2,1.2,4.7,1,0,0.6,2,23.6,45.1,97.4,0.98973306,0.027517007
69,Kentavious Caldwell-Pope,SG,23,Detroit Pistons,DET,2529,14.9,2.7,5.3,2.2,2.2,13.2,1.2,2.6,3.5,0.8,0.2,1.3,1.7,21.1,44.9,95,1.014736842,0.003806275
70,Isaiah Canaan,SG,25,Chicago Bulls,CHI,592,11,2.3,3.8,1.8,1.5,10.5,1.3,2,3,0.4,0.1,1.3,2.1,22.6,44.4,95.3,1.011542497,0.010113427
71,Clint Capela,C,22,Houston Rockets,HOU,1551,19,1.5,8.4,2.2,0,13.1,2,4.1,12.2,4.1,1.8,0.8,4.2,25.2,46.2,100,0.964,0.010231388
72,DeMarre Carroll,SF,30,Toronto Raptors,TOR,1882,12.2,1.4,4.2,1.7,2.1,10.5,1,2.2,5.3,1.2,0.5,1.5,2.7,18.5,46.4,94.7,1.017951426,0.004701452
73,Vince Carter,SF,40,Memphis Grizzlies,MEM,1799,11.7,2.7,3.9,1.8,2.2,9.8,1,2.3,4.5,0.7,0.7,1.2,3.3,21.3,43.5,92.3,1.044420368,0.004908114
74,Michael Carter-Williams,PG,25,Chicago Bulls,CHI,846,12.6,4.8,4.8,2.5,0.6,13,2.8,3.3,6.5,1,1,1.6,4.3,22.6,44.4,95.3,1.011542497,0.008756897
75,Omri Casspi,SF,28,Minnesota Timberwolves,MIN,222,7.3,1.8,3.1,0.8,0.3,6.2,1.6,1.3,3.2,1,0.3,2.1,3.9,23.7,46.7,94.6,1.019027484,0.026253934
76,Willie Cauley-Stein,C,23,Sacramento Kings,SAC,1421,15.5,2,6.5,2.6,0,12.2,1.7,3.8,8.6,2.2,1.1,1.3,3.7,22.5,46.1,94.9,1.015806112,0.008667372
77,Tyson Chandler,C,34,Phoenix Suns,PHO,1298,11,0.8,4.2,2.5,0,6.3,1.8,3.4,14.9,4.2,0.7,0.9,3.5,19.6,45,100.3,0.96111665,0.009216341
78,Wilson Chandler,SF,29,Denver Nuggets,DEN,2197,18.3,2.3,7.1,2.3,1.8,15.4,1.9,3.2,7.5,1.7,0.5,0.8,2.8,25.3,46.9,98.3,0.980671414,0.005003695
79,Marquese Chriss,PF,19,Phoenix Suns,PHO,1743,15.6,1.2,5.9,2.3,1.5,13.1,2.2,3.7,7.2,2,1.4,1.4,5.4,19.6,45,100.3,0.96111665,0.005244015
80,Rakeem Christmas,PF,25,Indiana Pacers,IND,219,9.7,0.7,3.1,3.5,0,7.1,1.3,4.8,9.2,4.3,1,0.5,6.1,22.5,46.5,95.9,1.005213764,0.034347654
81,Semaj Christon,PG,24,Oklahoma City Thunder,OKC,973,6.8,4.8,2.8,0.6,0.4,8.3,1.6,1.1,3.2,0.7,0.3,1,2.9,21,45.2,97.8,0.985685072,0.004331171
82,Ian Clark,SG,25,Golden State Warriors,GSW,1137,16.7,2.8,6.7,1.4,1.9,13.7,1.7,1.8,3.8,0.7,0.3,1.2,2.4,30.4,49.5,99.8,0.965931864,0.008843301
83,Jordan Clarkson,SG,24,Los Angeles Lakers,LAL,2397,18.1,3.2,7.2,2,1.8,16.1,2.5,2.5,3.7,0.7,0.1,1.3,2.3,20.9,45,98.5,0.978680203,0.004090907
84,Norris Cole,PG,28,Oklahoma City Thunder,OKC,125,12.4,4,4.6,2.3,0.9,15,2,2.9,3.2,0,0,2.3,5.2,21,45.2,97.8,0.985685072,0.032430886
85,Darren Collison,PG,29,Sacramento Kings,SAC,2063,15.7,5.4,5.9,2.6,1.3,12.5,2,3,2.7,0.4,0.2,1.2,2.1,22.5,46.1,94.9,1.015806112,0.005507838
86,Nick Collison,PF,36,Oklahoma City Thunder,OKC,128,9.3,3.4,3.9,1.4,0,6.5,1.1,2.3,8.7,2.5,0.6,0.6,4.8,21,45.2,97.8,0.985685072,0.074786887
87,Mike Conley,PG,29,Memphis Grizzlies,MEM,2292,22.2,6.8,7.3,5,2.7,15.8,2.5,5.8,3.8,0.5,0.3,1.4,2,21.3,43.5,92.3,1.044420368,0.00734929
88,Pat Connaughton,SG,24,Portland Trail Blazers,POR,316,11.2,3.2,4.2,0.8,1.9,8.2,1.9,1,5.9,1.1,0.2,0.7,2.6,21.1,45.9,96.7,0.996897622,0.028101218
89,Quinn Cook,PG,23,New Orleans Pelicans,NOP,111,16.9,4.5,7.1,0.6,1.9,13.3,1.6,1,1.3,0.3,0,1,2.3,22.8,45,98,0.983673469,0.102378986
90,DeMarcus Cousins,C,26,New Orleans Pelicans,NOP,574,26,4.1,8.9,5.9,2.3,19.7,3.9,7.6,13.2,2.3,1.2,1.6,4.7,22.8,45,98,0.983673469,0.028818404
91,Robert Covington,SF,26,Philadelphia 76ers,PHI,2119,14.7,1.7,5,2.4,2.3,12.4,2.2,3,7.4,1.6,1.2,2.2,3.4,23.8,44.2,98.5,0.978680203,0.004696115
92,Allen Crabbe,SG,24,Portland Trail Blazers,POR,2254,13.5,1.5,4.8,1.7,2.1,10.3,1,2,3.6,0.3,0.3,0.9,2.7,21.1,45.9,96.7,0.996897622,0.003817144
93,Jamal Crawford,SG,36,LA Clippers,LAC,2157,16.8,3.6,6,2.9,1.9,14.5,2.2,3.4,2.2,0.3,0.2,1,1.9,22.5,47.5,96.1,1.003121748,0.004149493
94,Jordan Crawford,SG,28,New Orleans Pelicans,NOP,442,21.7,4.6,8.6,1.6,3,17.8,2,2.1,2.8,0.3,0.2,0.9,2.4,22.8,45,98,0.983673469,0.030022388
95,Jae Crowder,SF,26,Boston Celtics,BOS,2335,15.4,2.4,5.1,2.7,2.4,11.1,1.2,3.3,6.4,0.7,0.4,1.1,2.5,25.2,45.4,96.8,0.995867769,0.004691802
96,Dante Cunningham,SF,29,New Orleans Pelicans,NOP,1649,9.5,0.8,3.8,0.3,1.6,7.8,0.6,0.6,6,1.2,0.6,0.9,2.2,22.8,45,98,0.983673469,0.004742641
97,Seth Curry,PG,26,Dallas Mavericks,DAL,2029,15.9,3.4,6,1.5,2.4,12.5,1.6,1.8,3.2,0.4,0.1,1.4,2.2,20.8,44,92.2,1.045553145,0.005727048
98,Stephen Curry,PG,28,Golden State Warriors,GSW,2638,27.3,7.2,9.2,4.4,4.4,19.7,3.3,4.9,4.8,0.8,0.2,1.9,2.5,30.4,49.5,99.8,0.965931864,0.00671424
99,Troy Daniels,SG,25,Memphis Grizzlies,MEM,1183,16.8,1.4,5.6,1.3,4.2,15.1,1.4,1.6,3,0.7,0.1,0.6,2.7,21.3,43.5,92.3,1.044420368,0.006663269
100,Anthony Davis,C,23,New Orleans Pelicans,NOP,2708,27.9,2.1,10.2,6.9,0.5,20.3,2.4,8.6,11.8,2.3,2.2,1.2,2.2,22.8,45,98,0.983673469,0.007164388
101,Deyonta Davis,C,20,Memphis Grizzlies,MEM,238,8.8,0.3,3.6,1.5,0,7.1,1.2,2.7,9.1,3,2.6,0.5,6.1,21.3,43.5,92.3,1.044420368,0.033512772
102,Ed Davis,PF,27,Portland Trail Blazers,POR,789,9.1,1.2,3.4,2.3,0,6.5,1.7,3.7,11.1,4.4,1,0.7,6.3,21.1,45.9,96.7,0.996897622,0.010633734
103,Dewayne Dedmon,C,27,San Antonio Spurs,SAS,1330,10.5,1.2,4.4,1.8,0,7,1.7,2.5,13.4,3.5,1.7,1,4.9,23.8,46.9,94.2,1.023354565,0.009038666
104,Sam Dekker,SF,22,Houston Rockets,HOU,1419,12.8,1.9,5.2,1,1.5,10.9,1,1.7,7.2,2.4,0.5,1,2.1,25.2,46.2,100,0.964,0.007086187
105,Malcolm Delaney,PG,27,Atlanta Hawks,ATL,1248,11.3,5.6,4.2,2.2,0.7,11.2,2.7,2.7,3.5,0.3,0,1.1,3.2,23.6,45.1,97.4,0.98973306,0.004587688
106,Matthew Dellavedova,PG,26,Milwaukee Bucks,MIL,1986,10.5,6.5,3.8,1.5,1.4,9.7,2.4,1.7,2.7,0.4,0,1,2.8,24.2,47.4,94.5,1.02010582,0.00367531
107,Luol Deng,SF,31,Los Angeles Lakers,LAL,1486,10.3,1.8,4,1.1,1.2,10.3,1,1.5,7.1,1.5,0.5,1.2,1.5,20.9,45,98.5,0.978680203,0.005160214
108,DeMar DeRozan,SG,27,Toronto Raptors,TOR,2620,27.8,4,9.9,7.5,0.5,21.2,2.5,8.9,5.3,1,0.2,1.1,1.8,18.5,46.4,94.7,1.017951426,0.006606648
109,Cheick Diallo,PF,20,New Orleans Pelicans,NOP,199,15.7,0.7,6.5,2.7,0,13.7,1.3,3.8,13.2,4.2,1.3,0.7,3.1,22.8,45,98,0.983673469,0.061786031
110,Boris Diaw,PF,34,Utah Jazz,UTA,1283,9.5,4.8,4.1,0.7,0.6,9.2,2.4,1,4.4,1.3,0.3,0.5,2.3,20.1,46.6,91.6,1.052401747,0.005525614
111,Gorgui Dieng,PF,27,Minnesota Timberwolves,MIN,2653,11.1,2.1,4.5,1.8,0.2,9,1.5,2.3,8.8,2.6,1.3,1.2,3.4,23.7,46.7,94.6,1.019027484,0.003929427
112,Spencer Dinwiddie,PG,23,Brooklyn Nets,BRK,1334,11.7,5,3.6,3.4,1,8.1,1.8,4.3,4.4,0.7,0.6,1.2,3.2,21.4,44.4,101.3,0.951628825,0.00682469
113,Toney Douglas,PG,30,Memphis Grizzlies,MEM,394,10.7,5.1,3.9,2.2,0.6,10.7,1.9,2.6,5.6,1.2,0.5,1.6,4.6,21.3,43.5,92.3,1.044420368,0.019793477
114,Goran Dragic,PG,30,Miami Heat,MIA,2459,21.7,6.2,7.8,4.4,1.7,16.5,3.1,5.5,4.1,0.9,0.2,1.3,2.9,21.2,45.5,95.2,1.012605042,0.005827022
115,Andre Drummond,C,23,Detroit Pistons,DET,2409,16.5,1.3,7.2,2,0,13.6,2.3,5.3,16.7,5.2,1.3,1.9,3.5,21.1,44.9,95,1.014736842,0.006316673
116,Jared Dudley,PF,31,Phoenix Suns,PHO,1362,11.5,3.2,4.1,1.1,2,9.1,1.9,1.7,5.9,0.8,0.4,1.1,4.1,19.6,45,100.3,0.96111665,0.005669278
117,Mike Dunleavy,SF,36,Atlanta Hawks,ATL,475,12.8,2.3,4.3,1.7,2.5,9.9,1.1,2,5.2,1,0.4,0.7,2.7,23.6,45.1,97.4,0.98973306,0.018753049
118,Kris Dunn,PG,22,Minnesota Timberwolves,MIN,1333,7.9,5.1,3.2,1,0.6,8.5,2.4,1.6,4.5,0.6,1,2.1,4.8,23.7,46.7,94.6,1.019027484,0.004740848
119,Kevin Durant,SF,28,Golden State Warriors,GSW,2070,27,5.2,9.6,5.8,2,17.8,2.4,6.7,8.9,0.7,1.7,1.1,2,30.4,49.5,99.8,0.965931864,0.009518082
120,Jarell Eddie,SF,25,Phoenix Suns,PHO,62,13.9,0,3.5,4.6,2.3,11,0.6,5.2,4.1,0.6,0,0.6,0.6,19.6,45,100.3,0.96111665,0.109380311
121,Henry Ellenson,PF,20,Detroit Pistons,DET,146,14.8,1.7,5.7,1,2.5,15.8,3.5,2,10.1,2,0.2,0.2,1.5,21.1,44.9,95,1.014736842,0.039070757
122,Wayne Ellington,SG,29,Miami Heat,MIA,1500,15.6,1.7,5.5,0.9,3.6,13.3,0.7,1,3.2,0.4,0.1,0.8,1.7,21.2,45.5,95.2,1.012605042,0.006346644
123,Monta Ellis,SG,31,Indiana Pacers,IND,1998,11.4,4.3,4.5,1.7,0.8,10,2.4,2.3,3.7,0.3,0.5,1.4,2.7,22.5,46.5,95.9,1.005213764,0.003884302
124,Joel Embiid,C,22,Philadelphia 76ers,PHI,786,28.7,3,9.2,8.7,1.6,19.6,5.4,11.2,11.1,2.8,3.5,1.2,5.1,23.8,44.2,98.5,0.978680203,0.021384081
125,James Ennis,SF,26,Memphis Grizzlies,MEM,1501,10.3,1.5,3.5,2.1,1.2,7.7,1.4,2.6,6.2,1.7,0.5,1.1,4,21.3,43.5,92.3,1.044420368,0.005310092
126,Tyler Ennis,PG,22,Los Angeles Lakers,LAL,392,15.6,4.8,6,1.7,1.9,13.2,1.9,2,2.4,0.5,0.2,1.7,2.7,20.9,45,98.5,0.978680203,0.027277662
127,Tyreke Evans,SF,27,Sacramento Kings,SAC,314,18.7,3.8,6.8,2.8,2.4,16.4,2.5,3.9,5.8,0.8,0.6,1.4,2.2,22.5,46.1,94.9,1.015806112,0.036040253
128,Dante Exum,PG,21,Utah Jazz,UTA,1228,12.1,3.3,4.5,1.7,1.3,10.6,2.3,2.1,3.9,0.9,0.4,0.6,4.3,20.1,46.6,91.6,1.052401747,0.005399109
129,Kenneth Faried,PF,27,Denver Nuggets,DEN,1296,16.3,1.5,6.3,3.6,0,11.6,1.6,5.2,12.8,5.1,1.1,1.2,3.4,25.3,46.9,98.3,0.980671414,0.011279995
130,Jordan Farmar,PG,30,Sacramento Kings,SAC,35,12.3,9.3,4.1,0,4.1,12.3,3.1,0,3.1,1,0,2.1,1,22.5,46.1,94.9,1.015806112,0.315134494
131,Derrick Favors,PF,25,Utah Jazz,UTA,1186,14.4,1.7,6.2,2,0.1,12.7,1.8,3.3,9.3,2.8,1.2,1.4,3.1,20.1,46.6,91.6,1.052401747,0.010118529
132,Kay Felder,PG,21,Cleveland Cavaliers,CLE,386,15.5,5.4,5.8,3.3,0.7,14.7,2.8,4.6,3.8,0.3,0.7,1.7,3.5,22.7,47,96.2,1.002079002,0.022161744
133,Cristiano Felicio,C,24,Chicago Bulls,CHI,1040,10.9,1.4,4.4,2.1,0,7.7,1.1,3.2,10.8,4.3,0.6,0.9,3.8,22.6,44.4,95.3,1.011542497,0.010895498
134,Raymond Felton,PG,32,LA Clippers,LAC,1700,11.4,4,4.7,1.1,1,10.9,1.8,1.4,4.6,0.7,0.5,1.4,2.6,22.5,47.5,96.1,1.003121748,0.004902342
135,Yogi Ferrell,PG,23,Dallas Mavericks,DAL,1046,14,5.3,4.9,2.2,2.1,11.9,1.9,2.5,3.4,0.6,0.2,1.4,2.7,20.8,44,92.2,1.045553145,0.010065453
136,Dorian Finney-Smith,PF,23,Dallas Mavericks,DAL,1642,7.7,1.5,2.7,1,1.2,7.3,1,1.3,4.9,1.2,0.5,1.1,2.7,20.8,44,92.2,1.045553145,0.003498083
137,Bryn Forbes,SG,23,San Antonio Spurs,SAS,285,11.9,2.9,4.5,0.6,2.1,12.5,1.4,0.8,2.9,0.3,0,0.1,2.5,23.8,46.9,94.2,1.023354565,0.016050556
138,Evan Fournier,SG,24,Orlando Magic,ORL,2234,18.8,3.3,6.6,3.6,2.1,15,2.3,4.5,3.4,0.7,0.1,1.1,2.9,22.2,44,96.8,0.995867769,0.004608158
139,Randy Foye,SG,33,Brooklyn Nets,BRK,1284,10,3.8,3.3,1.5,1.9,9.1,2.2,1.8,4.3,0.3,0.3,1,2.8,21.4,44.4,101.3,0.951628825,0.00437491
140,Tim Frazier,PG,26,New Orleans Pelicans,NOP,1525,11,7.9,3.8,2.3,0.9,9.5,2.4,3,4.1,0.8,0.1,1.3,3.1,22.8,45,98,0.983673469,0.005819431
141,Channing Frye,C,33,Cleveland Cavaliers,CLE,1398,17.4,1.2,6.1,1.6,3.5,13.4,1.4,1.9,7.5,1,1,0.8,3.6,22.7,47,96.2,1.002079002,0.008258356
142,Danilo Gallinari,SF,28,Denver Nuggets,DEN,2134,19.3,2.3,5.7,5.9,2.1,12.7,1.4,6.5,5.5,0.7,0.3,0.7,1.6,25.3,46.9,98.3,0.980671414,0.005788715
143,Langston Galloway,PG,25,Sacramento Kings,SAC,375,10.9,2.7,4,1.1,1.8,10,1.7,1.2,3.4,0.7,0.1,0.6,1.9,22.5,46.1,94.9,1.015806112,0.016614331
144,Patricio Garino,SG,23,Orlando Magic,ORL,43,0,0,0,0,0,5.9,2.5,0,5.9,0.8,0,0,3.3,22.2,44,96.8,0.995867769,-0.147768285
145,Marc Gasol,C,32,Memphis Grizzlies,MEM,2531,20.6,4.8,7.6,4,1.5,16.5,2.4,4.7,6.6,0.9,1.4,1,2.4,21.3,43.5,92.3,1.044420368,0.005950843
146,Pau Gasol,C,36,San Antonio Spurs,SAS,1627,17.5,3.3,6.7,2.9,1.2,13.4,1.8,4.1,11.1,2.4,1.5,0.5,2.4,23.8,46.9,94.2,1.023354565,0.009063354
147,Rudy Gay,SF,30,Sacramento Kings,SAC,1013,20,2.9,7.1,4.2,1.5,15.7,2.6,4.9,6.8,1.2,0.9,1.6,2.8,22.5,46.1,94.9,1.015806112,0.012837553
148,Michael Gbinije,SG,24,Detroit Pistons,DET,32,4.5,2.3,1.1,2.3,0,11.3,0,2.3,3.4,2.3,0,0,2.3,21.1,44.9,95,1.014736842,-0.047030216
149,Alonzo Gee,SF,29,Denver Nuggets,DEN,89,4.4,2.4,1.2,2,0,5.7,1.6,3.6,6.1,1.6,0.4,2,5.7,25.3,46.9,98.3,0.980671414,0.025008106
150,Paul George,SF,26,Indiana Pacers,IND,2689,23.8,3.4,8.3,4.5,2.6,18,2.9,5,6.6,0.8,0.4,1.6,2.8,22.5,46.5,95.9,1.005213764,0.005502608
151,Marcus Georges-Hunt,SG,22,Orlando Magic,ORL,48,10.5,2.3,1.5,6.8,0.7,5.2,1.5,7.5,6.8,0.7,0,0.7,3.7,22.2,44,96.8,0.995867769,0.141514315
152,Jonathan Gibson,PG,29,Dallas Mavericks,DAL,231,16.5,4.1,5.5,3.3,2.3,14.8,3.3,4.5,3.4,0.2,0,1.2,3.3,20.8,44,92.2,1.045553145,0.030770017
153,Taj Gibson,PF,31,Oklahoma City Thunder,OKC,487,15.3,1,6.6,2.1,0.1,13.2,2.1,2.9,7.6,2.8,1.1,1,3,21,45.2,97.8,0.985685072,0.021210853
154,Manu Ginobili,SG,39,San Antonio Spurs,SAS,1291,14.4,5.1,4.8,2.4,2.5,12.2,2.7,3,4.4,0.8,0.4,2.3,3.3,23.8,46.9,94.2,1.023354565,0.008060809
155,Rudy Gobert,C,24,Utah Jazz,UTA,2744,14.9,1.3,5.4,4.1,0,8.2,1.9,6.2,13.6,4.1,2.8,0.6,3.2,20.1,46.6,91.6,1.052401747,0.006172722
156,Archie Goodwin,SG,22,Brooklyn Nets,BRK,184,18.6,4.5,6.7,4.5,0.8,11.9,2.7,6.3,5.5,1.4,0.8,0.8,1.4,21.4,44.4,101.3,0.951628825,0.074065836
157,Aaron Gordon,SF,21,Orlando Magic,ORL,2298,16,2.3,6.2,2.4,1.2,13.6,1.4,3.4,6.3,1.8,0.6,1,2.7,22.2,44,96.8,0.995867769,0.004609657
158,Eric Gordon,SG,28,Houston Rockets,HOU,2323,18.9,2.9,6.4,2.3,3.8,15.7,1.9,2.7,3.1,0.4,0.6,0.7,2.3,25.2,46.2,100,0.964,0.004202145
159,Marcin Gortat,C,32,Washington Wizards,WAS,2556,12.4,1.7,5.5,1.5,0,9.5,1.7,2.2,12,3.4,0.9,0.6,3,23.9,47.5,97.4,0.98973306,0.004563389
160,Treveon Graham,SG,23,Charlotte Hornets,CHO,189,10.9,1.1,3.6,1.9,1.7,7.6,0.6,2.9,4.2,1,0.2,1.1,3.4,23.1,44.2,95.7,1.007314525,0.040977978
161,Jerami Grant,SF,22,Oklahoma City Thunder,OKC,1490,10.2,1.1,3.5,2.1,1,7.5,1,3.4,4.8,0.9,1.8,0.8,3.5,21,45.2,97.8,0.985685072,0.005032238
162,Jerian Grant,PG,24,Chicago Bulls,CHI,1028,13,4.2,4.5,2.3,1.7,10.5,1.5,2.6,3.9,0.6,0.3,1.6,3.3,22.6,44.4,95.3,1.011542497,0.009501809
163,Danny Green,SG,29,San Antonio Spurs,SAS,1807,9.9,2.5,3.5,0.5,2.4,8.9,1.5,0.6,4.5,0.6,1.1,1.4,2.4,23.8,46.9,94.2,1.023354565,0.004340653
164,Draymond Green,PF,26,Golden State Warriors,GSW,2471,11.3,7.8,4,2.2,1.2,9.5,2.7,3.1,8.7,1.4,1.5,2.2,3.2,30.4,49.5,99.8,0.965931864,0.004892181
165,Gerald Green,SF,31,Boston Celtics,BOS,538,17.5,2.2,6.4,2.2,2.6,15.5,1.7,2.7,5.6,1.1,0.5,0.6,3.2,25.2,45.4,96.8,0.995867769,0.017011239
166,JaMychal Green,PF,26,Memphis Grizzlies,MEM,2101,11.8,1.4,4.3,2.3,0.9,8.6,1.6,2.9,9.3,2.9,0.6,0.8,4.2,21.3,43.5,92.3,1.044420368,0.004764879
167,Jeff Green,PF,30,Orlando Magic,ORL,1534,15,1.9,5.2,3.4,1.2,13.1,1.8,3.9,5,0.9,0.3,0.9,2.4,22.2,44,96.8,0.995867769,0.005008303
168,Blake Griffin,PF,27,LA Clippers,LAC,2076,22.8,5.2,8.3,5.5,0.7,16.8,2.5,7.3,8.6,1.9,0.4,1,2.7,22.5,47.5,96.1,1.003121748,0.00784772
169,Justin Hamilton,C,26,Brooklyn Nets,BRK,1177,13.5,1.7,5.3,1.2,1.7,11.6,1.3,1.6,8,2.2,1.3,0.9,2.8,21.4,44.4,101.3,0.951628825,0.008655354
170,A.J. Hammons,C,24,Dallas Mavericks,DAL,163,10.6,0.9,3.8,2,1.1,9.3,2.2,4.4,8,1.8,2.9,0.2,4.6,20.8,44,92.2,1.045553145,0.039903621
171,Tim Hardaway,SG,24,Atlanta Hawks,ATL,2154,19.1,3,6.9,2.7,2.5,15.2,1.8,3.6,3.7,0.6,0.3,0.9,1.7,23.6,45.1,97.4,0.98973306,0.005185688
172,James Harden,PG,27,Houston Rockets,HOU,2947,28.8,11.1,8.2,9.1,3.2,18.7,5.7,10.8,8.1,1.2,0.5,1.5,2.6,25.2,46.2,100,0.964,0.006462855
173,Maurice Harkless,SF,23,Portland Trail Blazers,POR,2223,12.5,1.4,5.1,1.2,1.1,10.1,1.4,2,5.5,2,1.1,1.4,3.5,21.1,45.9,96.7,0.996897622,0.004400208
174,Justin Harper,PF,27,Philadelphia 76ers,PHI,31,13.9,2.3,5.8,0,2.3,13.9,4.6,0,5.8,2.3,0,0,2.3,23.8,44.2,98.5,0.978680203,0.137571225
175,Montrezl Harrell,C,23,Houston Rockets,HOU,1064,17.8,2.2,7.6,2.6,0,11.7,1.5,4.1,7.4,2.7,1.4,0.7,4.3,25.2,46.2,100,0.964,0.013243041
176,Devin Harris,PG,33,Dallas Mavericks,DAL,1087,14.5,4.5,4.5,3.5,1.9,11.3,1.9,4.3,4.2,0.4,0.2,1.4,3.3,20.8,44,92.2,1.045553145,0.00911342
177,Gary Harris,SG,22,Denver Nuggets,DEN,1782,17.2,3.3,6.5,2.1,2.2,12.9,1.5,2.7,3.6,1,0.2,1.4,1.9,25.3,46.9,98.3,0.980671414,0.00691765
178,Joe Harris,SG,25,Brooklyn Nets,BRK,1138,13.5,1.7,4.9,1.1,2.7,11.5,1.7,1.6,4.7,0.5,0.3,0.9,3.8,21.4,44.4,101.3,0.951628825,0.006094075
179,Manny Harris,SG,27,Dallas Mavericks,DAL,25,11.5,2.9,4.3,2.9,0,21.6,2.9,5.8,13,4.3,0,0,1.4,20.8,44,92.2,1.045553145,-0.056922048
180,Tobias Harris,PF,24,Detroit Pistons,DET,2567,18.5,2,7.2,2.7,1.5,14.9,1.3,3.2,5.8,0.9,0.5,0.8,1.9,21.1,44.9,95,1.014736842,0.004842133
181,Aaron Harrison,SG,22,Charlotte Hornets,CHO,17,2.1,6.4,0,2.1,0,8.5,0,4.2,6.4,0,0,0,4.2,23.1,44.2,95.7,1.007314525,-0.089936151
182,Andrew Harrison,PG,22,Memphis Grizzlies,MEM,1474,10.4,4.8,2.9,3.6,1.1,8.8,2.1,4.7,3.3,0.6,0.5,1.3,4.7,21.3,43.5,92.3,1.044420368,0.004317403
183,Udonis Haslem,C,36,Miami Heat,MIA,130,8.6,1.7,3,2.5,0,6.4,2.2,4.2,10,2.2,0.3,1.7,6.1,21.2,45.5,95.2,1.012605042,0.049391563
184,Spencer Hawes,PF,28,Milwaukee Bucks,MIL,171,17.5,4,6.3,2.9,1.9,12.4,1.9,3.8,9.5,1.3,0.8,0.4,3.4,24.2,47.4,94.5,1.02010582,0.079579729
