,Player,Pos,Age,Team,Abb_team,MP,PTS,AST,FG,FT,X3P,FGA,TOV,FTA,TRB,ORB,BLK,STL,PF,team_AST,team_FG,Pace,pace_adjustment,PER_value
351,Chris Paul,PG,31,LA Clippers,LAC,1921,20.7,10.6,7,4.3,2.3,14.7,2.8,4.9,5.7,0.7,0.1,2.2,2.7,22.5,47.5,96.1,1.003121748,0.009790333
352,Adreian Payne,PF,25,Minnesota Timberwolves,MIN,135,16.8,1.9,6.1,3.7,0.8,14.4,2.1,5.1,8.8,2.4,1.9,2.1,8.5,23.7,46.7,94.6,1.019027484,0.077454972
353,Cameron Payne,PG,22,Chicago Bulls,CHI,142,13.7,3.8,5.3,0.3,2.8,16,3.3,1,4.3,0.3,0,1,3.5,22.6,44.4,95.3,1.011542497,0.024399683
354,Elfrid Payton,PG,22,Orlando Magic,ORL,2412,15.6,7.9,6.4,2.2,0.6,13.6,2.7,3.1,5.8,1.3,0.6,1.3,2.6,22.2,44,96.8,0.995867769,0.005255866
355,Gary Payton,PG,24,Milwaukee Bucks,MIL,99,7.3,4.7,2.9,1.1,0.4,8,3.6,1.8,4.4,0,1.5,1.1,3.3,24.2,47.4,94.5,1.02010582,0.037637847
356,Paul Pierce,SF,39,LA Clippers,LAC,277,10.5,1.3,3.6,1.3,1.9,9.1,2.1,1.7,6.2,0.1,0.6,0.5,5.2,22.5,47.5,96.1,1.003121748,0.015023401
357,Marshall Plumlee,C,24,New York Knicks,NYK,170,8.5,2.1,3.4,1.7,0,6.4,2.5,4,10.8,4.9,0.8,0.8,4.9,21.8,44.7,96,1.004166667,0.047282907
358,Mason Plumlee,C,26,Denver Nuggets,DEN,632,14,4,5.6,2.7,0,10.3,2.6,4.3,9.9,2.8,1.7,1.1,4.4,25.3,46.9,98.3,0.980671414,0.018897352
359,Miles Plumlee,C,28,Charlotte Hornets,CHO,174,6.4,0.6,2.9,0.6,0,5,1.7,0.8,8.7,3.1,0.8,1.4,5.2,23.1,44.2,95.7,1.007314525,0.038775401
360,Jakob Poeltl,C,21,Toronto Raptors,TOR,626,9.5,0.7,3.9,1.8,0,6.6,1.7,3.3,9.5,4.5,1.2,1,6.5,18.5,46.4,94.7,1.017951426,0.014758255
361,Otto Porter,SF,23,Washington Wizards,WAS,2605,14.9,1.7,5.7,1.4,2,11.1,0.6,1.6,7.1,1.6,0.6,1.6,2.7,23.9,47.5,97.4,0.98973306,0.00492809
362,Bobby Portis,PF,21,Chicago Bulls,CHI,1000,15.7,1.3,6.6,1.4,1.2,13.5,1.3,2.1,10.7,2.7,0.4,0.6,3.4,22.6,44.4,95.3,1.011542497,0.01141159
363,Kristaps Porzingis,PF,21,New York Knicks,NYK,2164,19.9,1.6,7.4,3.3,1.9,16.4,2,4.2,7.9,1.8,2.1,0.8,4.1,21.8,44.7,96,1.004166667,0.005884941
364,Dwight Powell,C,25,Dallas Mavericks,DAL,1333,13.9,1.3,5.2,2.9,0.6,10.2,0.9,3.8,8.3,2.5,1.1,1.6,3.6,20.8,44,92.2,1.045553145,0.009661808
365,Norman Powell,SG,23,Toronto Raptors,TOR,1368,16.7,2.2,6,3.3,1.5,13.3,1.8,4.2,4.4,0.7,0.4,1.4,3.3,18.5,46.4,94.7,1.017951426,0.007696519
366,Alex Poythress,PF,23,Philadelphia 76ers,PHI,157,14.7,1.1,5.7,1.8,1.4,12.4,0.7,2.3,6.6,2.5,0.5,0.7,3.2,23.8,44.2,98.5,0.978680203,0.062515275
367,Ronnie Price,PG,33,Phoenix Suns,PHO,134,3.8,4.8,1.1,0.8,0.8,6.4,0.8,1.1,3,0.8,0.3,3,3.8,19.6,45,100.3,0.96111665,0.034588493
368,Tim Quarterman,SG,22,Portland Trail Blazers,POR,80,14,5,5.9,0,2.3,13.1,5,1.4,6.3,1.8,1.4,0.9,2.7,21.1,45.9,96.7,0.996897622,0.100769936
369,Chasson Randle,PG,23,New York Knicks,NYK,225,15.2,4.5,4.5,4.6,1.6,11.5,2.6,5,4.3,1,0.2,1,4.5,21.8,44.7,96,1.004166667,0.038937813
370,Julius Randle,PF,22,Los Angeles Lakers,LAL,2132,16.5,4.5,6.4,3.4,0.3,13.1,2.9,4.8,10.7,2.5,0.6,0.8,4.2,20.9,45,98.5,0.978680203,0.005528666
371,Zach Randolph,PF,35,Memphis Grizzlies,MEM,1786,20.7,2.5,8.7,2.8,0.4,19.4,2,3.9,12.1,3.7,0.2,0.8,2.7,21.3,43.5,92.3,1.044420368,0.007721833
372,J.J. Redick,SG,32,LA Clippers,LAC,2198,19.2,1.8,6.5,2.9,3.3,14.6,1.6,3.3,2.8,0.2,0.2,0.9,2,22.5,47.5,96.1,1.003121748,0.004989934
373,Willie Reed,C,26,Miami Heat,MIA,1031,13.1,0.9,5.7,1.7,0,10,1.1,3.1,11.6,4.5,1.6,0.6,4.8,21.2,45.5,95.2,1.012605042,0.012224676
374,Josh Richardson,SG,23,Miami Heat,MIA,1614,12,3.1,4.5,1.3,1.7,11.4,1.4,1.7,3.7,0.8,0.9,1.3,2.9,21.2,45.5,95.2,1.012605042,0.005019764
375,Malachi Richardson,SG,21,Sacramento Kings,SAC,198,14.4,2,5.1,2.7,1.5,12.4,1.5,3.5,4.2,0.5,0.2,0.9,4.2,22.5,46.1,94.9,1.015806112,0.03588883
376,Austin Rivers,SG,24,LA Clippers,LAC,2054,15.6,3.6,5.7,2.3,1.9,12.8,2,3.3,2.8,0.4,0.2,0.8,3.3,22.5,47.5,96.1,1.003121748,0.004199916
377,Andre Roberson,SF,25,Oklahoma City Thunder,OKC,2376,7.9,1.2,3.3,0.7,0.7,7,0.8,1.7,6.1,1.5,1.2,1.4,3.1,21,45.2,97.8,0.985685072,0.003104695
378,Brian Roberts,PG,31,Charlotte Hornets,CHO,416,12.3,4.5,4,2.9,1.5,10.6,2.3,3.4,3.4,0.4,0.1,0.8,1.6,23.1,44.2,95.7,1.007314525,0.01729579
379,Glenn Robinson,SF,23,Indiana Pacers,IND,1427,10.6,1.2,4,1.4,1.2,8.5,0.9,1.9,6.2,1.4,0.5,1,1.6,22.5,46.5,95.9,1.005213764,0.006075461
380,Thomas Robinson,PF,25,Los Angeles Lakers,LAL,560,15.5,2,6.8,2,0,12.6,3,4.2,14.3,5.4,0.6,1.7,4.9,20.9,45,98.5,0.978680203,0.023136523
381,Sergio Rodriguez,PG,30,Philadelphia 76ers,PHI,1518,12.6,8.2,5,0.4,2.2,12.7,3,0.6,3.7,0.5,0.1,1.2,2.3,23.8,44.2,98.5,0.978680203,0.005737794
382,Rajon Rondo,PG,30,Chicago Bulls,CHI,1843,10.5,9,4.5,0.6,1,11,3.3,1,6.9,1.4,0.2,1.9,2.8,22.6,44.4,95.3,1.011542497,0.005563945
383,Derrick Rose,PG,28,New York Knicks,NYK,2082,20,4.9,8,3.8,0.2,16.9,2.5,4.4,4.3,1.1,0.3,0.8,1.5,21.8,44.7,96,1.004166667,0.005990286
384,Terrence Ross,SF,25,Orlando Magic,ORL,748,14.4,2.1,5.5,1.1,2.2,12.9,1.7,1.3,3.3,0.2,0.6,1.6,2.9,22.2,44,96.8,0.995867769,0.011007075
385,Terry Rozier,PG,22,Boston Celtics,BOS,1263,11.7,3.7,4.3,1.5,1.6,11.7,1.3,1.9,6.5,1.1,0.3,1.3,2,25.2,45.4,96.8,0.995867769,0.006513037
386,Ricky Rubio,PG,26,Minnesota Timberwolves,MIN,2469,12.2,9.9,3.8,3.7,0.9,9.5,2.8,4.2,4.4,1,0.1,1.9,2.9,23.7,46.7,94.6,1.019027484,0.004931893
387,Damjan Rudez,SF,30,Orlando Magic,ORL,314,9.4,2.3,3.6,0,2.3,10.1,1,0,2.9,0.6,0.1,1.4,3.6,22.2,44,96.8,0.995867769,0.0167284
388,Brandon Rush,SG,31,Minnesota Timberwolves,MIN,1030,6.9,1.6,2.4,0.5,1.5,6.5,1,0.6,3.5,0.6,0.8,0.8,1.5,23.7,46.7,94.6,1.019027484,0.005025141
389,D'Angelo Russell,PG,20,Los Angeles Lakers,LAL,1811,19.6,6,7,2.9,2.7,17.2,3.5,3.7,4.4,0.6,0.3,1.7,2.6,20.9,45,98.5,0.978680203,0.006207868
390,Domantas Sabonis,PF,20,Oklahoma City Thunder,OKC,1632,10.6,1.8,4.2,1,1.1,10.6,1.8,1.5,6.4,1,0.7,0.9,4.4,21,45.2,97.8,0.985685072,0.003259588
391,Larry Sanders,C,28,Cleveland Cavaliers,CLE,13,11.1,0,2.8,5.5,0,11.1,5.5,5.5,11.1,8.3,2.8,2.8,13.8,22.7,47,96.2,1.002079002,0.348979807
392,Dario Saric,PF,22,Philadelphia 76ers,PHI,2129,17.6,3.1,6.4,2.9,1.8,15.7,3.1,3.7,8.7,1.9,0.5,1,2.7,23.8,44.2,98.5,0.978680203,0.004422745
393,Tomas Satoransky,SG,25,Washington Wizards,WAS,719,7.7,4.6,3.1,1.2,0.5,7.4,1.9,1.7,4.2,1.3,0.3,1.3,3,23.9,47.5,97.4,0.98973306,0.009196006
394,Dennis Schroder,PG,23,Atlanta Hawks,ATL,2485,20.5,7.2,7.9,3.2,1.4,17.6,3.7,3.7,3.6,0.6,0.2,1.1,2.2,23.6,45.1,97.4,0.98973306,0.004769408
395,Luis Scola,PF,36,Brooklyn Nets,BRK,461,14.4,2.9,5.5,2,1.3,11.8,2.7,2.9,10.9,4,0.3,1.1,4.9,21.4,44.4,101.3,0.951628825,0.02221346
396,Mike Scott,PF,28,Atlanta Hawks,ATL,195,8.3,3.1,3.1,1.3,0.7,10.9,1.5,1.5,6.8,1.8,0.6,0.7,2.2,23.6,45.1,97.4,0.98973306,0.022465683
397,Thabo Sefolosha,SF,32,Atlanta Hawks,ATL,1596,10,2.4,3.9,1.2,0.9,8.9,1.3,1.7,6.1,1.2,0.7,2.2,2.2,23.6,45.1,97.4,0.98973306,0.00556109
